Brand,Model,Year,Transmission,Mileage,Fuel Type,Tax,MPG,Engine Size,Price
Hyundai,Santa Fe,2019,Semi-Auto,4223,Diesel,145,39.8,2.2,31995
Vauxhall,GTC,2015,Manual,47870,Diesel,125,60.1,2,7700
Audi,RS4,2019,Automatic,5151,Petrol,145,29.1,2.9,58990
VW,Scirocco,2016,Automatic,20423,Diesel,30,57.6,2,12999
Skoda,Scala,2020,Semi-Auto,3569,Petrol,145,47.1,1,16990
Mercedes,V Class,2019,Automatic,4170,Diesel,145,44.1,2.1,40890
Toyota,Prius,2020,Automatic,3,Hybrid,135,64.2,1.8,25990
BMW,M4,2019,Semi-Auto,101,Petrol,145,34,3,41980
Toyota,Camry,2019,Automatic,6340,Hybrid,135,52.3,2.5,25490
Ford,KA,2012,Manual,85843,Petrol,30,57.7,1.2,3491
Vauxhall,Vivaro,2016,Manual,40230,Diesel,160,50.4,1.6,13750
Mercedes,CLS Class,2016,Automatic,47156,Diesel,125,57.7,2.1,17999
VW,Caravelle,2019,Automatic,5000,Diesel,145,33.6,2,46050
VW,Arteon,2018,Semi-Auto,20656,Petrol,145,47.1,2,20498
VW,Shuttle,2018,Manual,31824,Diesel,145,47.1,2,22750
Hyundai,I40,2019,Manual,20,Diesel,145,52.3,1.6,16000
Hyundai,IX20,2015,Automatic,34878,Petrol,200,43.6,1.6,6890
Hyundai,Santa Fe,2019,Automatic,9970,Diesel,145,39.2,2.2,31269
BMW,6 Series,2017,Semi-Auto,18895,Diesel,145,51.4,3,25998
Mercedes,GL Class,2016,Automatic,11653,Diesel,20,67.3,2.1,17999
Mercedes,S Class,2017,Automatic,12653,Diesel,145,52.3,3,37500
Ford,KA,2015,Manual,17041,Petrol,30,57.7,1.2,4995
Audi,S3,2015,Manual,48800,Petrol,205,39.8,2,17950
Skoda,Yeti,2016,Semi-Auto,13156,Petrol,125,51.4,1.2,13495
Ford,Galaxy,2009,Manual,58000,Diesel,200,44.8,1.8,5475
Ford,Puma,2020,Manual,363,Petrol,145,50.4,1,23000
Ford,Edge,2016,Manual,24105,Diesel,160,48.7,2,18640
Audi,A8,2019,Automatic,2117,Diesel,145,40.4,3,41606
Mercedes,SLK,2013,Semi-Auto,44226,Diesel,145,56.5,2,10498
VW,Scirocco,2016,Manual,44015,Diesel,30,53.3,2,12912
Mercedes,CLS Class,2016,Automatic,16107,Diesel,160,51.4,3,20399
Skoda,Kamiq,2019,Semi-Auto,3597,Petrol,145,44.1,1.5,20999
Mercedes,CLS Class,2016,Semi-Auto,29306,Diesel,160,51.4,3,21998
Audi,RS6,2016,Semi-Auto,22500,Petrol,325,29.4,4,49950
Toyota,Prius,2017,Automatic,24949.95781,Hybrid,135,94.1,1.8,18995
Skoda,Scala,2019,Automatic,510,Diesel,145,54.3,1.6,16490
VW,Scirocco,2016,Manual,40000,Petrol,125,52.3,1.4,11850
VW,Arteon,2019,Semi-Auto,5101,Diesel,145,50.4,2,26090
Skoda,Scala,2019,Manual,1149,Petrol,145,49.6,1,15650
Toyota,Prius,2017,Automatic,33710,Hybrid,135,94.1,1.8,17800
Mercedes,CLA Class,2017,Automatic,53159,Diesel,125,58.9,2.1,17590
VW,Caravelle,2006,Manual,106000,Diesel,325,34.4,2.5,14495
Toyota,Land Cruiser,2019,Semi-Auto,16634,Diesel,145,30.1,2.8,42995
Mercedes,V Class,2019,Automatic,10,Diesel,145,36.7,2,49991
Mercedes,M Class,2015,Semi-Auto,43339,Diesel,200,39.2,2.1,21498
Mercedes,S Class,2009,Automatic,122000,Diesel,325,36.7,3,7724
Hyundai,I40,2016,Manual,18340,Diesel,125,60.1,1.7,12995
VW,Arteon,2020,Semi-Auto,2555,Diesel,145,53.3,2,29990
Mercedes,V Class,2018,Semi-Auto,40479,Diesel,145,45.6,2.2,29998
Audi,Q8,2019,Automatic,4278,Diesel,145,33.6,3,50786
BMW,i3,2017,Automatic,20929,Hybrid,135,470.8,0,19948
Toyota,Verso,2017,Semi-Auto,19807,Petrol,200,42.8,1.8,12990
Hyundai,Santa Fe,2016,Automatic,20960,Diesel,235,42.8,2.2,16999
Mercedes,CLS Class,2018,Automatic,16568,Diesel,145,48.7,2.9,34390
Ford,Mustang,2017,Manual,20700,Petrol,150,20.9,5,27500
VW,Arteon,2019,Manual,40,Diesel,150,52.3,2,27498
Mercedes,CLS Class,2017,Semi-Auto,31479,Diesel,145,57.7,2.1,22490
Hyundai,IX35,2011,Manual,79000,Petrol,205,41.5,1.6,5475
VW,Amarok,2015,Manual,43935,Diesel,260,35.3,2,18995
Toyota,Avensis,2018,Automatic,35507,Petrol,145,44.1,1.8,12998
Ford,Grand Tourneo Connect,2017,Manual,17442,Diesel,30,64.2,1.5,12298
Ford,Galaxy,2016,Semi-Auto,20486,Diesel,145,52.3,2,20995
Toyota,Prius,2016,Automatic,23300,Hybrid,0,85.6,1.8,18690
Vauxhall,Antara,2014,Manual,27495,Diesel,235,44.1,2.2,6790
Skoda,Scala,2019,Other,3500,Petrol,145,47.1,1,15999
Mercedes,M Class,2008,Automatic,110000,Diesel,555,28.8,3,5990
Ford,Puma,2019,Manual,1085,Petrol,145,51.4,1,20000
Ford,Tourneo Connect,2020,Automatic,409,Diesel,145,44.1,1.5,20950
VW,Beetle,2015,Manual,55239,Petrol,145,47.9,1.2,7795
BMW,X4,2017,Automatic,58056,Diesel,145,54.3,2,22000
Mercedes,SLK,2008,Automatic,65000,Petrol,290,34.4,1.8,6775
VW,CC,2015,Semi-Auto,54231,Diesel,150,53.3,2,9995
Ford,Edge,2016,Automatic,24641,Diesel,160,48.7,2,19999
BMW,M4,2020,Semi-Auto,1000,Petrol,145,34,3,49980
Toyota,GT86,2017,Manual,26919,Petrol,260,36.2,2,15998
Mercedes,GL Class,2013,Automatic,24949.95781,Diesel,325,35.3,3,25998
BMW,X4,2015,Manual,53197,Diesel,160,52.3,2,18390
Mercedes,X-CLASS,2019,Automatic,500,Diesel,260,35.8,2.3,24945
BMW,X4,2016,Automatic,42576,Diesel,200,47.9,3,20500
Hyundai,I800,2016,Automatic,17110,Diesel,325,33.6,2.5,14998
BMW,i8,2018,Automatic,11278,Hybrid,135,134.5,1.5,57870
Mercedes,S Class,2019,Semi-Auto,7659,Diesel,145,52.3,3,46980
VW,Caddy Maxi Life,2014,Manual,56716,Diesel,200,48.7,1.6,9498
Toyota,Verso,2018,Manual,7074,Diesel,145,62.8,1.6,13965
Ford,Mustang,2017,Semi-Auto,26452,Petrol,580,23.5,5,27890
Hyundai,IX20,2015,Manual,29000,Petrol,125,50.4,1.4,6795
Skoda,Yeti,2017,Semi-Auto,15000,Petrol,125,51.4,1.2,13400
VW,Caddy Maxi Life,2019,Semi-Auto,1374,Diesel,145,46.3,2,24295
VW,Arteon,2017,Semi-Auto,6502,Petrol,145,47.1,2,22290
Vauxhall,Combo Life,2019,Manual,805,Petrol,145,42.2,1.2,16000
Mercedes,CLA Class,2017,Automatic,10626,Petrol,145,53.3,1.6,17200
VW,Scirocco,2014,Manual,43198,Diesel,30,62.8,2,12000
Ford,Mustang,2020,Automatic,3500,Petrol,145,22.1,5,42489
Skoda,Rapid,2017,Manual,55115,Diesel,0,74.3,1.6,7450
VW,Arteon,2019,Semi-Auto,6183,Diesel,145,50.4,2,23795
Mercedes,X-CLASS,2018,Automatic,9500,Diesel,260,31.4,3,36790
BMW,6 Series,2015,Automatic,22797,Diesel,160,49.6,3,19199
Mercedes,S Class,2015,Automatic,30782,Hybrid,20,64.2,2.1,27000
Ford,Edge,2017,Manual,45386,Diesel,160,48.7,2,17000
VW,Scirocco,2011,Semi-Auto,120000,Diesel,125,57.6,2,5995
Mercedes,GL Class,2015,Automatic,54965,Diesel,125,55.4,2.1,15599
VW,Amarok,2017,Automatic,22000,Diesel,260,36.2,3,26000
VW,Amarok,2018,Automatic,23371,Diesel,265,36.2,3,30995
Audi,SQ7,2017,Automatic,12000,Diesel,145,39.2,4,52888
Mercedes,M Class,2014,Automatic,37986,Diesel,300,39.2,3,20499
Ford,Grand C-MAX,2016,Manual,28772,Diesel,30,64.2,1.5,9999
Hyundai,Santa Fe,2009,Manual,95000,Diesel,305,38.7,2.2,4495
Hyundai,IX20,2017,Manual,12245,Petrol,150,50.4,1.4,10000
Toyota,Prius,2013,Automatic,33905,Hybrid,0,70.6,1.8,11500
Vauxhall,Combo Life,2018,Manual,10070,Diesel,145,53.3,1.5,15979
BMW,i3,2016,Automatic,25269,Other,0,470.8,0.6,17100
Toyota,Avensis,2016,Manual,40312,Diesel,200,46.3,1.6,10275
Ford,Tourneo Custom,2016,Manual,62505,Diesel,200,46.3,2,15298
BMW,M4,2020,Semi-Auto,101,Petrol,145,34,3,51402
VW,California,2019,Semi-Auto,3544,Diesel,260,29.1,2,69994
Hyundai,I800,2018,Manual,33610,Diesel,145,31.7,2.5,16459
Vauxhall,Agila,2014,Manual,45400,Petrol,20,60.1,1,3595
Mercedes,M Class,2015,Semi-Auto,30657,Diesel,200,39.2,2.1,23995
Audi,A7,2017,Semi-Auto,24337,Diesel,150,55.4,3,22999
Hyundai,I800,2019,Manual,14674,Diesel,145,31.7,2.5,18500
Skoda,Scala,2020,Manual,1652,Petrol,145,47.9,1.5,19952
Vauxhall,Zafira Tourer,2016,Manual,44500,Diesel,30,62.7,1.6,8850
Ford,Mustang,2018,Manual,21632,Petrol,145,35.3,2.3,25000
Mercedes,CLA Class,2015,Automatic,32895,Diesel,20,67.3,2.1,16250
Ford,Galaxy,2017,Manual,36123,Diesel,125,56.5,2,17958
Vauxhall,Combo Life,2019,Manual,7821,Diesel,145,53.3,1.5,16990
Toyota,Prius,2013,Automatic,68057,Hybrid,0,68.9,1.8,14498
Toyota,Land Cruiser,2017,Automatic,11356,Diesel,145,38.2,2.8,37790
BMW,6 Series,2014,Semi-Auto,64215,Diesel,160,49.6,3,17898
Ford,Grand Tourneo Connect,2016,Manual,13608,Diesel,30,64.2,1.5,13490
Toyota,Verso,2017,Semi-Auto,19432,Petrol,150,43.5,1.8,16781
Mercedes,CLS Class,2018,Semi-Auto,8123,Diesel,145,48.7,2.9,33990
Vauxhall,Combo Life,2018,Manual,14066,Diesel,145,53.3,1.5,13300
Mercedes,G Class,2018,Semi-Auto,18234,Petrol,150,21.4,4,135124
VW,Tiguan Allspace,2019,Semi-Auto,3500,Diesel,145,38.7,2,33290
Ford,Grand C-MAX,2011,Automatic,90000,Diesel,200,48.7,2,5995
BMW,X6,2018,Automatic,35706,Diesel,145,47.1,3,33450
Ford,Edge,2018,Semi-Auto,9412,Diesel,150,47.9,2,24000
Mercedes,CLA Class,2016,Automatic,30106,Diesel,125,58.9,2.1,18500
Toyota,Verso,2017,Semi-Auto,6800,Petrol,145,42.8,1.8,15495
BMW,M2,2020,Semi-Auto,1501,Petrol,145,29.1,3,46000
Mercedes,GL Class,2015,Automatic,29520,Diesel,125,55.4,2.1,17299
Mercedes,GL Class,2015,Automatic,40659,Diesel,125,56.5,2.1,16799
Mercedes,SLK,2014,Semi-Auto,34170,Petrol,200,43.5,2,13650
BMW,X4,2017,Semi-Auto,22768,Diesel,145,54.3,2,24500
Mercedes,CLS Class,2016,Automatic,33000,Diesel,145,56.5,2.1,19200
Toyota,Prius,2017,Automatic,3881,Hybrid,135,235,1.8,20795
VW,Scirocco,2015,Manual,22442,Diesel,20,55.4,2,12998
Mercedes,SLK,2016,Automatic,39820,Diesel,30,70.6,2.1,16299
Skoda,Scala,2020,Manual,55,Petrol,145,49.6,1,17495
BMW,X7,2019,Semi-Auto,10,Diesel,145,31.4,3,76970
VW,Arteon,2019,Manual,3248,Diesel,145,52.3,2,24690
Hyundai,Santa Fe,2017,Semi-Auto,37123,Diesel,150,42.8,2.2,19899
VW,Beetle,2015,Manual,26196,Petrol,205,42.8,1.4,11000
VW,Amarok,2019,Automatic,6822,Diesel,260,33.6,3,30700
Skoda,Rapid,2018,Semi-Auto,13553,Petrol,145,58.9,1,11795
Mercedes,V Class,2018,Manual,30577,Diesel,145,46.3,2.1,19990
Audi,A8,2018,Automatic,11300,Diesel,145,50.4,3,34399
VW,Scirocco,2016,Manual,22687,Diesel,20,55.4,2,15199
Vauxhall,GTC,2015,Manual,33217,Diesel,125,60.1,2,7280
Audi,A8,2019,Automatic,5900,Diesel,145,50.4,3,48000
BMW,i3,2017,Automatic,24041,Hybrid,0,470.8,0,21495
VW,Scirocco,2017,Manual,44081,Petrol,145,47.1,2,14075
Ford,Galaxy,2016,Automatic,24664,Diesel,150,52.3,2,19500
BMW,7 Series,2019,Automatic,7414,Diesel,145,44.8,3,47890
VW,Tiguan Allspace,2020,Semi-Auto,2334,Petrol,145,35.8,1.5,29399
Ford,Grand C-MAX,2018,Manual,21384,Petrol,145,54.3,1,11999
Skoda,Rapid,2014,Semi-Auto,40468,Petrol,145,48.7,1.4,7495
Mercedes,V Class,2018,Automatic,15232,Diesel,145,48.7,2.1,19750
VW,Caravelle,2019,Semi-Auto,6280,Diesel,145,33.6,2,46795
VW,Shuttle,2018,Semi-Auto,16203,Diesel,145,47.1,2,27994
Ford,Galaxy,2017,Manual,35495,Diesel,125,56.5,2,17999
Mercedes,M Class,2013,Automatic,84000,Diesel,205,44.8,2.1,17500
Ford,Grand C-MAX,2017,Manual,11373,Petrol,30,54.3,1,11891
Vauxhall,Combo Life,2019,Manual,7300,Petrol,145,42.2,1.2,14990
Ford,Tourneo Custom,2017,Manual,33650,Diesel,235,44.1,2,17995
BMW,Z4,2019,Automatic,467,Petrol,145,38.7,2,32970
Audi,RS5,2019,Automatic,2000,Petrol,145,30.1,2.9,53990
Skoda,Rapid,2017,Manual,33599,Diesel,145,74.3,1.6,9185
Ford,Edge,2016,Manual,27500,Diesel,160,48.7,2,17900
Ford,Grand C-MAX,2017,Manual,25243,Diesel,30,64.2,1.5,12498
VW,Scirocco,2015,Manual,90000,Diesel,30,53.3,2,9475
Ford,Grand Tourneo Connect,2016,Manual,30000,Diesel,125,61.4,1.5,13995
VW,Arteon,2019,Manual,100,Diesel,150,52.3,2,25390
Toyota,GT86,2017,Manual,14345,Petrol,150,36.2,2,17000
Toyota,Hilux,2018,Automatic,16734,Diesel,265,36.2,2.4,23994
Mercedes,GLS Class,2017,Automatic,26452,Diesel,305,37.2,3,38343
Audi,A7,2017,Semi-Auto,34132,Diesel,30,62.8,3,21150
Skoda,Rapid,2017,Manual,32657,Diesel,0,74.3,1.6,8485
VW,Arteon,2019,Automatic,7865,Diesel,145,50.4,2,28995
VW,Tiguan Allspace,2019,Semi-Auto,5000,Diesel,150,44.1,2,26999
VW,Shuttle,2019,Manual,3615,Diesel,145,38.2,2,20480
Toyota,Prius,2018,Automatic,20252,Hybrid,135,85.6,1.8,22000
Ford,KA,2018,Manual,5007,Petrol,145,57.7,1.2,8299
Skoda,Rapid,2016,Manual,49093,Diesel,0,74.3,1.6,6985
Hyundai,Santa Fe,2016,Manual,10200,Diesel,200,46.3,2.2,17390
Toyota,Verso,2017,Automatic,33989,Other,165,43.5,1.8,14800
Skoda,Scala,2020,Manual,5234,Petrol,145,49.6,1,16490
Audi,A8,1997,Automatic,122000,Petrol,265,18.9,4.2,4650
Hyundai,IX20,2016,Manual,28500,Petrol,125,50.4,1.4,8189
Ford,Grand Tourneo Connect,2015,Manual,54429,Diesel,125,58.9,1.6,10499
Hyundai,Santa Fe,2018,Manual,21588,Diesel,145,47.1,2.2,20842
Mercedes,S Class,2019,Semi-Auto,4688,Petrol,150,31.7,4,109995
Mercedes,GLB Class,2020,Semi-Auto,29,Diesel,145,46.3,2,39480
Mercedes,M Class,2013,Automatic,51800,Diesel,200,44.8,2.1,15990
BMW,7 Series,2019,Semi-Auto,706,Diesel,145,44.1,3,52700
Audi,Q8,2019,Automatic,945,Diesel,145,33.6,3,56000
Mercedes,GL Class,2015,Automatic,42073,Diesel,125,55.4,2.1,15999
Mercedes,X-CLASS,2019,Automatic,39,Diesel,260,35.8,2.3,28675
BMW,X7,2019,Semi-Auto,17561,Petrol,145,24.8,3,67989
Audi,RS6,2015,Automatic,24987,Petrol,315,29.4,4,44950
Skoda,Yeti,2013,Manual,67235,Diesel,200,47.1,2,6688
Ford,Edge,2017,Semi-Auto,20045,Diesel,160,48.7,2,20750
BMW,M4,2017,Automatic,5735,Petrol,145,32.5,3,39950
Ford,Edge,2017,Semi-Auto,41726,Diesel,160,48.7,2,18998
Vauxhall,GTC,2016,Automatic,44310,Petrol,200,42.8,1.4,9240
Ford,Edge,2017,Manual,22922,Diesel,160,48.7,2,19999
Vauxhall,Combo Life,2019,Manual,17957,Diesel,145,53.3,1.5,15990
Mercedes,S Class,2015,Automatic,46757,Diesel,205,47.9,3,25460
Audi,Q8,2019,Semi-Auto,4488,Diesel,145,33.6,3,48995
Toyota,Verso,2016,Semi-Auto,13992,Petrol,165,43.5,1.8,13490
Mercedes,SLK,2001,Automatic,48172,Petrol,325,30,2.3,3990
Ford,KA,2018,Manual,10691,Petrol,150,47.9,1.2,9500
Ford,Galaxy,2017,Manual,32750,Diesel,125,56.5,2,18999
VW,Arteon,2019,Automatic,1000,Diesel,145,37.7,2,34000
VW,Beetle,2013,Manual,38333,Petrol,235,37.2,2,10400
Toyota,Prius,2013,Automatic,58852,Other,10,64.2,1.8,17995
VW,Amarok,2018,Automatic,5673,Diesel,260,33.6,3,32000
Skoda,Rapid,2015,Manual,28301,Petrol,20,57.7,1.2,7990
Hyundai,Santa Fe,2020,Semi-Auto,6000,Diesel,150,39.2,2.2,36999
Mercedes,S Class,2015,Semi-Auto,29036,Diesel,160,50.4,3,24998
VW,Scirocco,2017,Automatic,34203,Diesel,145,62.8,2,17000
Toyota,Avensis,2016,Manual,29535,Diesel,20,67.3,1.6,9499
BMW,M5,2012,Automatic,51000,Petrol,555,28.5,4.4,23995
Ford,Grand C-MAX,2017,Manual,4040,Petrol,145,54.3,1,14500
Hyundai,IX20,2017,Manual,10279,Petrol,145,50.4,1.4,9795
VW,Scirocco,2017,Manual,24481,Diesel,150,55.4,2,16299
VW,Amarok,2019,Automatic,6898,Diesel,260,33.6,3,34900
VW,Scirocco,2016,Manual,17141,Diesel,20,55.4,2,15940
